 ,Area,Mean,StdDev,Min,Max,IntDen,RawIntDen
1,0.011,583.030,59.010,333,839,6.422,61020480.000
2,0.011,746.686,71.144,460,1624,8.225,78148946.000
3,0.011,551.270,54.461,354,1414,6.072,57696460.000
4,0.011,34748.512,1376.426,24973,37960,382.748,3636813981.000
5,0.011,409.332,35.609,283,545,4.509,42841084.000
6,0.011,574.614,53.690,339,1137,6.329,60139716.000
7,0.011,812.468,61.978,471,1121,8.949,85033666.000
8,0.011,688.868,85.204,435,1278,7.588,72097575.000
9,0.011,913.841,165.859,543,1334,10.066,95643551.000
10,0.011,660.197,44.050,485,1156,7.272,69096893.000
11,0.011,36413.036,2337.471,8133,42837,401.083,3811024788.000
12,0.011,438.795,33.894,271,624,4.833,45924679.000
13,0.011,632.409,56.924,406,1070,6.966,66188601.000
14,0.011,1091.250,104.737,678,1803,12.020,114211292.000
15,0.011,527.593,91.734,317,834,5.811,55218423.000
16,0.011,456.541,44.630,261,611,5.029,47782018.000
17,0.011,574.558,53.768,387,1164,6.329,60133814.000
18,0.011,42106.381,2009.436,33300,46783,463.794,4406895961.000
19,0.011,565.032,44.377,348,767,6.224,59136783.000
20,0.011,728.173,134.421,451,1326,8.021,76211296.000
21,0.011,493.883,36.758,332,745,5.440,51690285.000
22,0.011,536.067,34.762,324,695,5.905,56105305.000
23,0.011,512.761,44.714,312,728,5.648,53666088.000
24,0.011,514.866,56.600,351,1328,5.671,53886404.000
25,0.011,39937.924,2421.912,31851,45257,439.909,4179943022.000
26,0.011,513.356,31.796,303,690,5.655,53728310.000
27,0.011,619.659,44.988,390,887,6.825,64854080.000
28,0.011,901.617,125.801,578,1277,9.931,94364100.000
29,0.011,564.145,55.148,310,792,6.214,59044007.000
30,0.011,708.700,64.655,452,1525,7.806,74173273.000
31,0.011,535.059,52.176,352,1366,5.894,55999796.000
32,0.011,23339.604,659.819,17510,25445,257.081,2442746342.000
33,0.011,407.937,32.510,282,541,4.493,42695079.000
34,0.011,558.995,50.459,312,1132,6.157,58504976.000
35,0.011,771.250,55.181,478,1060,8.495,80719763.000
36,0.011,676.518,80.748,429,1243,7.452,70805017.000
37,0.011,864.539,150.077,532,1277,9.523,90483492.000
38,0.011,649.274,42.229,471,1143,7.152,67953634.000
39,0.011,30687.521,2047.208,7216,36691,338.017,3211786599.000
40,0.011,441.498,33.731,273,647,4.863,46207607.000
41,0.011,623.162,53.522,407,1074,6.864,65220727.000
42,0.011,1021.975,98.442,635,1682,11.257,106960948.000
43,0.011,518.920,80.240,319,775,5.716,54310638.000
44,0.011,456.938,42.376,265,615,5.033,47823621.000
45,0.011,570.874,50.324,392,1106,6.288,59748264.000
46,0.011,32950.043,1656.137,27010,38358,362.938,3448584419.000
47,0.011,560.370,43.655,387,737,6.172,58648931.000
48,0.011,694.542,117.665,441,1217,7.650,72691474.000
49,0.011,497.716,35.660,341,733,5.482,52091415.000
50,0.011,539.971,34.669,321,682,5.948,56513887.000
