Combo,T_01,T_02,T_03,T_04,T_05,T_06,T_07,T_08,T_09,T_10,T_11,T_12,T_13,T_14,T_15,T_16,T_17,T_18,T_19,T_20,T_21,T_22,T_23,T_24,T_25
10205,545.276,550.782,555.339,557.813,561.41,563.631,560.428,565.43,571.448,581.541,592.955,612.339,634.809,662.305,689.144,715.739,742.745,766.47,786.735,798.194,809.21,817.636,825.036,832.341,841.026
10507,512.885,516.996,520.634,522.423,524.409,526.268,521.198,524.439,529.928,540.667,553.276,572.346,599.29,632.663,667.506,704.807,738.444,762.438,779.881,794.434,808.603,820.395,830.337,839.939,849.192
10207,532.874,533.723,536.853,538.138,540.42,541.163,538.454,536.483,538.74,547.108,556.763,585.904,776.095,1107.369,1535.448,2083.052,2522.872,2720.256,2749.91,2770.556,2772.108,2764.506,2757.988,2751.865,2739.407
20407,491.5,491.702,493.721,494.392,495.306,496.593,494.887,497.798,506.687,521.415,537.691,589.509,765.162,1048.61,1512.447,2216.372,2891.473,3276.199,3414.126,3524.431,3559.935,3570.837,3571.794,3570.214,3558.711
20406,548.098,540.769,541.218,540.813,541.715,542.746,543.449,547.156,557.191,577.154,598.524,681.661,925.748,1310.57,1957.092,2778.109,3479.611,3931.353,4179.611,4590.582,4965.686,5199.535,5343.724,5445.419,5492.435
30406,488.635,483.652,484.191,483.561,484.545,485.844,485.536,487.714,495.195,510.586,526.825,570.121,701.613,935.907,1339.256,1996.526,2733.401,3342.023,3783.044,4264.707,4675.235,4997.743,5210.084,5336.014,5412.787
30610,553.373,543.186,541.833,539.471,538.865,537.466,535.626,534.223,536.036,545.337,559.032,592.694,715.363,983.063,1326.977,1799.902,2307.256,2768.612,3119.368,3492.768,3827.238,4076.968,4211.715,4277.235,4308.271
20310,507.014,498.956,497.492,495.606,495.483,495.4,493.302,494.217,497.068,504.863,518.897,550.858,678.834,903.546,1219.931,1633.772,2064.15,2460.569,2770.825,3107.406,3396.193,3628.109,3773.989,3841.819,3870.851
21011,515.148,507.53,507.85,508.419,513.007,518.15,524.835,538.23,554.605,568.702,641.278,837.341,1256.106,2112.441,3243.9,4188.964,4865.692,5322.251,5620.34,6085.781,6459.289,6672.487,6764.297,6794.284,6777.322
20611,505.353,497.451,497.252,497.361,500.651,504.276,506.82,514.096,526.599,539.231,570.591,699.505,934.053,1364.645,2063.248,2743.281,3287.176,3667.923,3931.668,4315.241,4634.551,4843.078,4956.487,5023.082,5040.875
60711,503.725,496.074,496.338,497.247,501.366,506.683,510.66,520.606,532.51,555.955,757.654,1259.964,2227.522,3852.667,5835.988,7528.844,8757.447,9700.529,10555.025,11440.973,11873.354,12066.732,12106.542,12056.5,11969.447
60711,510.857,503.678,503.939,505.261,509.849,514.435,517.461,525.085,536.752,548.695,596.805,799.742,1170.049,1875.221,2918.587,3968.471,4829.968,5468.414,5972.733,6644.172,7097.62,7332.34,7454.437,7490.527,7483.596
10711,548.431,535.245,534.173,534.571,538.061,542.836,544.288,551.715,563.363,577.018,654.796,941.735,1431.467,2295.418,3475.499,4644.977,5595.767,6324.313,6937.984,7757.823,8283.675,8582.296,8750.825,8793.877,8789.159
10311,543.348,531.972,531.602,532.7,537.608,542.168,544.607,550.68,561.999,576.574,593.124,673.013,836.191,1101.851,1563.326,2140.21,2695.579,3161.584,3493.33,3871.251,4152.847,4299.955,4324.107,4308.458,4285.732
10309,557.149,541.4,537.966,535.151,534.59,534.601,532.983,534.898,545.978,564.136,614.548,873.983,1370.075,2103.876,3131.289,4151.178,4889.378,5297.84,5505.329,5731.642,5770.54,5714.245,5641.753,5574.011,5510.327
30509,514.371,502.899,500.786,498.746,499.067,499.875,499.395,503.93,516.199,533.626,563.873,627.984,687.345,753.777,829.968,899.303,950.504,987.451,1011.863,1040.019,1057.211,1067.621,1075.54,1082.149,1086.345
50910,545.803,531.907,529.301,526.99,527.776,528.469,529.21,534.747,548.805,569.831,609.737,698.743,778.598,879.377,989.898,1079.712,1141.573,1181.272,1209.251,1238.35,1258.67,1269.593,1281.291,1288.418,1293.559
10510,496.519,486.255,484.604,483.063,483.634,485.327,485.084,491.162,501.29,517.644,540.919,575.473,616.098,666.63,724.882,779.308,820.47,850.83,870.279,890.569,906.283,917.633,927.919,936.096,941.04
11011,582.165,564.283,561.123,559.888,562.885,567.088,569.575,575.995,586.916,601.664,620.493,686.613,852.376,1126.023,1618.986,2212.046,2647.69,2858.639,2911.697,2968.59,2983.838,2982.286,2979.723,2975.478,2965.791
