 ,Mean,StdDev,Min,Max
1,766.470,114.401,416,1219
2,762.438,140.251,435,1356
3,2720.256,1286.842,650,10365
4,3276.199,1772.431,625,13910
5,3931.353,1913.847,770,16234
6,3342.023,1776.687,646,16820
7,2768.612,1465.066,597,12379
8,2460.569,1353.243,603,11360
9,5322.251,2610.962,806,17944
10,3667.923,1958.305,811,18772
11,9700.529,3737.393,1245,26590
12,5468.414,2881.485,772,21712
13,6324.313,3277.938,1047,28473
14,3161.584,1653.731,602,13430
15,5297.840,2641.352,985,18114
16,987.451,308.307,386,2877
17,1181.272,313.287,632,4411
18,850.830,212.167,380,2235
19,2858.639,1413.861,744,10790
20,2178.503,1208.469,539,10450
21,2781.629,1436.973,689,11222
22,921.355,318.100,398,3675
23,1032.823,575.395,372,7475
24,1216.710,610.222,478,6555
25,2465.142,1527.272,571,13539
26,4399.485,2364.650,593,17007
27,4796.569,2720.295,677,22328
28,1704.368,698.564,538,7507
29,1621.908,843.118,466,8756
30,1822.311,643.090,659,6682
31,4561.563,1946.669,1109,18278
32,11072.947,4242.797,1435,29962
33,8744.772,3833.001,1425,27122
34,10700.072,4471.658,1354,30224
35,7290.041,4031.311,1109,28035
36,7557.240,3252.816,824,23515
37,6814.395,2846.146,991,22977
38,9021.660,3486.299,1159,24903
39,5355.313,2665.480,1019,19713
40,6723.572,3256.199,1061,25311
41,3862.588,1709.164,880,15144
42,4682.548,2055.016,632,15116
43,3187.333,1445.451,698,14774
44,2400.324,1222.675,414,10594
45,2004.904,1278.132,547,10207
46,2198.633,1353.320,451,10971
47,1010.153,270.639,449,2912
48,960.087,276.648,472,2597
49,1650.408,525.078,508,4631
50,2016.809,746.230,514,6558
51,2206.263,853.187,706,7276
52,2554.098,819.638,849,6435
53,9691.720,3877.445,1254,29875
54,10007.262,3941.648,1773,28808
55,9918.632,4261.528,1192,27597
56,8016.599,3445.527,1348,26159
57,1941.067,708.714,498,6956
58,2262.020,906.308,558,9187
59,2124.610,760.994,628,8786
60,8403.562,3601.899,1011,24690
61,11032.002,4478.124,1324,29195
62,6051.695,2811.078,987,23525
63,1542.945,543.666,492,6640
64,1331.310,555.274,454,5880
65,898.786,217.351,405,3120
66,1555.335,921.370,360,8198
67,1435.314,698.345,446,6844
68,1538.464,804.668,374,7434
69,953.775,233.685,374,2539
70,833.306,208.423,363,1734
71,1048.018,265.954,452,4689
72,3564.169,2111.016,556,18432
73,6314.058,2953.593,945,19748
74,4833.228,2872.648,641,23012
75,8455.101,3770.797,1179,27521
76,4084.214,2389.687,606,17809
77,5903.579,2720.468,780,22292
78,3134.213,1690.729,490,14357
79,1441.268,522.019,569,4747
80,1198.417,461.194,409,4103
81,1679.275,533.047,470,6274
82,5447.383,3133.475,653,25712
83,5551.162,2794.372,868,21334
84,2104.368,1237.418,455,9696
85,971.692,206.045,438,3018
86,829.462,220.942,376,2486
87,816.002,149.159,365,1829
88,1599.342,989.113,428,7136
89,973.681,96.444,645,1219
90,871.954,44.472,669,1083
91,902.917,70.003,627,1133
92,1060.667,108.236,666,1278
93,905.665,55.442,655,1133
94,882.557,72.112,645,1182
95,3332.359,1201.885,1360,8468
96,1966.529,664.055,768,5408
97,2089.735,833.991,842,6570
98,4590.860,1700.719,1465,11385
99,3073.250,1254.875,1383,8960
100,2269.067,1126.100,915,8933
101,4391.196,1746.723,1688,10538
102,3619.523,1277.531,1201,8616
103,3989.698,2121.781,937,13118
104,6389.805,2401.231,1493,16820
105,4252.245,1946.044,898,10526
106,2929.530,1247.140,1003,9710
107,2949.884,1180.390,1050,7563
108,3632.006,1383.515,993,8558
109,2535.380,1014.853,937,5986
110,3556.109,1639.500,1037,11360
111,1973.203,701.848,964,5372
112,2784.417,1106.066,1155,7198
113,3546.437,1242.686,1236,10508
114,8087.332,3148.609,1294,17441
115,5803.754,2032.986,1628,14880
116,1576.314,677.966,989,5484
117,6052.023,1714.863,2064,13286
118,3170.664,1543.562,1772,18772
119,9838.279,3220.630,2711,24437
120,8891.082,2946.510,2067,19475
121,9143.728,3770.281,1555,23302
122,7806.417,3270.384,2128,17442
123,5793.984,2499.944,1817,14299
124,3820.742,1692.975,1469,12405
125,6010.402,2169.909,2065,14420
126,7829.337,3209.052,1444,19664
127,5106.567,2002.066,1468,12250
128,3979.004,1895.152,1625,12797
129,2023.185,855.785,967,6531
130,2835.419,944.839,1343,7122
131,3613.299,2123.633,1146,13769
132,4896.783,2199.828,1316,13609
133,7160.180,3193.738,1386,18114
134,1044.882,93.454,772,1674
135,1079.318,97.698,714,1352
136,1649.013,253.947,1026,2877
137,1034.337,93.019,695,1268
138,1623.930,344.114,931,4411
139,1555.929,222.256,976,2692
140,1171.456,65.855,799,1522
141,914.326,59.494,670,1217
142,1272.572,181.330,857,2235
143,2757.528,1279.708,1020,9021
144,2814.919,954.556,1023,6443
145,3306.609,1499.235,1183,10790
146,2481.032,1259.400,822,8225
147,2226.223,1047.894,937,7018
148,2022.801,856.296,1027,9652
149,1699.968,631.122,865,5714
150,3146.675,1122.399,1142,8754
151,3049.862,1302.927,1255,7963
152,1134.195,320.152,705,2936
153,826.803,97.475,571,1477
154,1286.156,210.727,724,2722
155,836.973,126.426,612,1556
156,897.170,156.193,560,2250
157,1076.548,319.086,669,3503
158,1448.574,842.584,659,6555
159,1558.285,819.111,661,5528
160,1287.768,445.791,728,3635
161,1632.366,745.942,842,6891
162,2623.651,1321.535,967,9039
163,2485.368,1247.442,1078,7234
164,3547.515,1545.223,1237,10468
165,4277.703,1813.140,1318,11832
166,6072.862,2771.708,1050,15863
167,6281.078,2792.162,1796,15004
168,4200.366,2090.530,1340,14593
169,3779.112,2108.740,1291,15040
170,2457.927,999.295,1074,7507
171,2422.601,745.127,1167,5674
172,1513.450,153.541,965,2029
173,2699.210,846.811,1297,6881
174,2638.137,816.070,1304,6650
175,1315.986,138.288,827,1687
176,2339.493,641.356,1181,5682
177,1503.158,105.798,1104,1920
178,2546.959,513.779,1107,4323
179,4834.995,1651.745,2033,11427
180,4646.172,1222.025,2233,9645
181,4180.671,1458.296,1851,10788
182,12869.139,2987.999,5013,20921
183,9392.116,3380.279,3028,22697
184,11418.137,3869.021,1849,29938
185,12338.839,3318.261,5234,24365
186,7769.049,2820.094,2842,21046
187,8226.731,2757.153,3093,18459
188,9959.899,3443.181,3722,22800
189,10981.772,3659.781,3533,23819
190,10856.520,3469.524,2197,26123
191,10236.533,4071.087,2654,27897
192,13007.247,3033.108,5102,21817
193,5158.083,2348.696,1780,15223
194,7615.484,2886.625,2658,20907
195,5392.247,2114.339,1842,15700
196,9385.827,2482.929,3825,19397
197,7279.301,2039.736,2862,15955
198,6384.523,2071.113,2417,14717
199,8743.265,2785.417,2652,19840
200,8886.009,3311.968,2811,21274
201,10634.276,3551.468,3039,24903
202,9108.712,2604.184,2900,18817
203,5478.262,2236.176,1803,14305
204,9204.925,2980.019,3111,17084
205,6167.406,3116.048,1950,19713
206,4076.307,1808.794,1550,11586
207,6872.164,2378.853,2168,17336
208,10672.947,4278.867,2888,25311
209,3860.810,1501.829,1544,9705
210,4112.696,2167.022,1568,14802
211,4814.345,1863.055,1767,13433
212,4276.977,1690.434,1689,12003
213,4761.646,1632.519,1987,13643
214,6368.686,2500.218,1516,14842
215,3526.157,1006.260,1762,7085
216,3287.586,1450.990,1428,10683
217,2544.990,858.090,1207,7075
218,2583.995,1230.248,1119,8557
219,2692.335,1310.894,949,9104
220,3475.226,1476.613,987,9126
221,1357.494,529.570,703,3536
222,2684.474,1782.611,886,9139
223,1334.269,280.832,938,4314
224,3568.728,1844.014,990,10361
225,1793.630,894.580,797,8057
226,1684.613,646.838,855,5324
227,1055.979,133.180,743,1642
228,1468.993,262.515,911,2912
229,1212.901,69.500,776,1441
230,1162.435,195.866,772,2078
231,1441.382,253.870,819,2597
232,1090.561,117.194,670,1506
233,1812.033,410.170,1006,4272
