Index,Combo,Species_1,Species_2,Species_3,TriMean,TriStDev,Species_1_Mean,Species_1_STDEV,Species_2_Mean,Species_2_STDEV,Species_3_Mean,Species_3_STDEV
1,50609,5,6,9,18087.337,8536.453,10988.689,3378.313,12196.267,5147.576,15034.797,8117.347
2,20509,5,2,9,11527.879,3455.827,12327.138,4252.376,11305.519,2568.288,9824.205,1777.233
3,10209,2,9,1,14500.27,5128.578,12829.613,1419.603,11392.361,1642.525,11659.137,2603.14
4,10206,2,6,1,11666.29,8245.937,11498.768,7444.924,10675.104,3500.141,14822.508,7460.081
5,10610,6,1,10,13473.369,2791.533,12645.482,1723.455,16421.089,1843.657,10196.117,880.522
6,61011,6,11,10,15732.584,7432.559,10631.214,3598.041,19239.327,5417.059,11935.253,1671.207
7,61011,11,10,6,12628.456,5942.717,16189.527,4349.946,12063.196,2416.058,6847.703,525.043
8,30611,11,3,6,11957.052,4880.47,15809.855,2641.291,8128.14,986.208,12767.911,1144.781
9,30611,3,6,11,7884.756,2793.132,6767.638,1534.603,8914.126,2490.64,7889.419,915.189
10,30411,3,4,11,3338.888,694.725,3275.254,234.255,3937.87,298.325,5241.234,551.102
11,30411,4,11,3,13466.692,5499.615,7655.349,544.985,17906.361,3502.194,15530.746,2962.115
12,20304,4,2,3,13229.526,5974.807,7473.073,2247.232,23120.91,1311.512,12962.037,2487.027
13,20304,2,3,4,14471.522,5691.844,16321.607,1553.123,19835.814,5363.991,9876.683,1003.415
14,20406,2,6,4,11181.544,3410.904,12934.201,1075.623,14727.299,2805.95,7717.784,1212.864
15,40506,6,4,5,12403.857,4381.299,15904.529,1873.428,6927.223,488.234,17536.132,2034.226
16,50610,6,10,5,4638.578,2027.048,4406.219,344.216,4750.627,753.877,5403.692,321.353
17,50810,10,5,8,10449.865,3780.674,9804.646,1057.675,10768.984,2049.205,11671.604,1580.302
18,20810,10,2,8,12494.9,2622.899,12317.899,1499.78,14589.002,757.479,12007.722,1656.567
19,20811,2,8,11,14613.901,4605.217,12767.741,2882.958,10144.117,1341.15,25171.59,2112.199
20,20311,2,3,11,11144.606,3470.147,11444.155,2141.524,11922.825,2317.863,9264.678,1931.804
21,30811,3,11,8,9404.133,3267.184,7475.801,1523.718,8632.209,1790.701,8029.389,1452.393
22,30508,3,5,8,10341.479,3923.729,7336.172,2353.716,9636.229,2083.758,8521.516,1953.665
23,40609,6,9,4,12430.355,4063.834,11509.292,2162.122,11429.848,2894.846,8636.359,1527.677
24,40609,9,4,6,9383.81,2343.156,8343.294,719.843,8402.896,1125.068,9407.505,1398.389
25,10609,9,1,6,11855.389,2994.253,11378.411,2104.451,12164.068,2385.288,10144.758,1392.272
26,10611,1,6,11,13656.619,3567.495,12944.694,944.438,12840.147,2059.011,11605.405,3170.96
27,11011,1,10,11,20475.472,5662.861,29172.399,2981.432,15506.52,3115.375,20311.128,3692.538
28,21011,10,11,2,13157.285,2555.966,13245.378,1130.559,11211.032,1371.484,14911.81,1270.321
