Index,Combo,Species_1,Species_2,Species_3,TriMean,TriStDev,Species_1_Mean,Species_1_STDEV,Species_2_Mean,Species_2_STDEV,Species_3_Mean,Species_3_STDEV
1,50610,6,10,5,15676.711,6154.399,12678.738,2790.105,19403.665,3563.319,11821.865,1620.842
2,50608,6,8,5,12463.532,3660.569,13551.839,1894.962,11497.795,3190.755,14467.356,791.374
3,50809,8,5,9,15712.929,4717.05,19733.672,4106.625,17643.601,721.547,12017.659,1340.132
4,50809,8,5,9,17546.389,5807.994,26739.987,2711.103,19785.824,4814.563,16962.957,620.522
5,40509,5,9,4,19709.182,5326.533,20528.766,2706.819,21794.623,1126.796,20470.41,4165.654
6,40511,5,11,4,21926.578,6548.777,24797.717,3042.192,21740.007,5944.124,28995.802,2502.671
7,30411,11,4,3,23751.984,7134.965,18406.657,2861.752,29118.656,1649.739,25827.561,4998.249
8,30811,11,8,3,19535.408,7246.903,20877.626,1240.03,16766.828,2363.17,31422.752,3056.065
9,10308,8,3,1,14333.246,7231.286,7953.273,1495.158,28288.814,1241.488,15647.855,1573.554
10,10811,8,11,1,14829.737,6785.112,9660.396,1600.24,23846.351,4314.395,25469.067,1564.557
11,10911,11,1,9,24177.899,7312.186,16517.653,1417.563,30719.967,2125.247,28871.125,6055.35
12,70911,11,7,9,22747.172,8100.687,20776.301,1233.596,19124.376,3363.261,35436.66,4760.877
13,50709,7,9,5,21339.438,5969.682,17244.822,1130.922,26241.738,3094.268,28481.795,5699.094
14,10507,7,1,5,15295.548,4288.033,18211.508,1429.485,20886.939,3859.392,15437.374,3230.78
15,10510,1,5,10,20255.022,10480.898,15376.323,1362.504,17727.473,2436.103,35584.041,13199.269
16,10910,1,9,10,18857.144,4963.014,16609.621,559.53,20005.863,2506.435,27364.001,4550.112
17,60910,9,10,6,23688.192,4924.479,19595.081,1239.66,21978.343,2259.967,25256.959,5840.919
18,10609,9,1,6,19315.819,3541.325,20299.923,1354.808,22442.779,3237.884,20481.448,3136.999
19,10406,1,6,4,21121.22,3445.871,21878.991,1974.088,21662.385,3465.782,19770.908,4384.27
20,10406,1,6,4,15086.457,3754.525,13461.345,1260.539,20172.403,3553.72,13818.765,2341.23
21,20406,6,4,2,16807.345,4003.51,15108.362,1249.428,13661.439,2922.751,18629.289,5595.893
22,20611,6,11,2,17067.735,6473.681,16662.024,4345.307,14866.992,4923.448,13729.634,6143.159
23,20510,10,5,2,17711.915,4595.53,18198.846,4796.279,12875.489,2814.823,20298.089,2267.395
