Index,Combo,Species_1,Species_2,Species_3,TriMean,TriStDev
1,10207,1,2,7,8446.409,3174.207
2,10607,1,6,7,6604.409,2391.627
3,10607,6,7,1,6684.427,2595.413
4,10611,6,11,1,5672.689,2335.911
5,10611,11,1,6,7163.721,2311.186
6,50611,11,5,6,4377.581,1685.897
7,50611,5,6,11,6299.173,3339.4
8,51011,5,10,11,6194.808,3457.751
9,51011,10,11,5,6102.019,2502.976
10,40510,10,4,5,5611.548,2944.329
11,40510,4,5,10,4027.435,2283.007
12,40910,4,9,10,6134.914,3913.424
13,40910,9,10,4,5612.513,2398.251
14,30409,9,3,4,5743.768,3498.546
15,30409,3,4,9,6075.278,2410.594
16,30809,3,8,9,5774.452,2087.062
17,30809,8,9,3,6291.9,2205.383
18,20308,8,2,3,5736.829,1833.939
19,20308,2,3,8,6845.994,2628.332
20,20708,2,7,8,6801.676,2230.019
21,20708,7,8,2,7945.763,2958.587
22,10207,7,1,2,8348.425,2941.771
23,20307,2,7,3,8520.969,2994.808
24,30708,7,3,8,7767.729,3305.512
25,10708,7,1,8,7740.197,2541.968
26,10208,1,8,2,8476.568,2545.739
27,10206,1,6,2,7388.026,3415.879
28,20607,6,2,7,8641.836,3467.54
29,60711,6,11,7,6378.868,3013.199
30,10711,11,7,1,12807.933,4056.646
31,10511,11,5,1,8196.448,1919.002
32,10506,5,1,6,7105.995,3341.885
33,50610,5,10,6,7166.569,2897.085
34,61011,10,6,11,8213.377,3137.698
35,41011,10,4,11,6733.948,3267.701
36,40511,4,11,5,6525.015,3337.771
37,40509,4,9,5,5848.081,4170.794
38,50910,9,5,10,6482.814,2832.57
39,30910,9,3,10,6856.216,2436.524
40,30410,3,10,4,4852.489,1923.308
41,30408,3,8,4,5885.994,2318.015
42,40809,8,4,9,3595.85,1452.326
43,20809,8,2,9,6734.367,2023.562
44,20309,2,9,3,8446.79,3149.555
45,30409,3,4,9,5165.127,1631.914
46,30809,3,8,9,5621.753,1904.69
47,30809,8,9,3,6276.629,2524.135
48,20308,8,2,3,5441.562,1504.916
49,20308,2,3,8,6886.541,1744.924
50,20708,2,7,8,7863.777,3845.667
51,20708,7,8,2,6890.125,2333.468
52,10207,7,1,2,9744.841,4413.01
53,10207,1,2,7,8295.026,2686.559
54,10607,1,6,7,9377.214,2330.662
55,10607,6,7,1,9978.993,4999.986
56,10611,6,11,1,8244.066,1798.664
57,10611,11,1,6,6476.247,3105.112
58,50611,11,5,6,5538.485,3249.961
59,50611,5,6,11,7113.494,3373.237
60,51011,5,10,11,6809.788,2654.595
61,51011,10,11,5,7277.82,2654.648
62,40510,10,4,5,5150.717,1711.119
63,40510,4,5,10,5926.254,3450.421
64,40910,4,9,10,5174.21,2264.364
65,40910,9,10,4,6771.944,3061.129
66,30409,9,3,4,6233.061,2350.056
67,40509,4,9,5,4431.701,2287.403
68,50910,9,5,10,6294.678,3016.387
69,30910,9,3,10,4609.844,1178.557
70,30410,3,10,4,2791.371,1169.527
71,30408,3,8,4,4797.224,1817.483
72,40809,8,4,9,4119.825,1662.372
73,20809,8,2,9,6098.591,2170.382
74,20309,2,9,3,7812.517,4450.696
75,20307,2,7,3,9511.251,2212.783
76,30708,7,3,8,7698.168,3650.31
77,10708,7,1,8,7672.386,1612.588
78,10208,1,8,2,8747.926,5299.331
79,10206,1,6,2,6444.198,2793.162
80,20607,6,2,7,6728.153,4081.78
81,60711,6,11,7,6653.037,1867.311
82,10711,11,7,1,7260.262,3827.334
83,10511,11,5,1,5599.676,1291.618
84,10506,5,1,6,4265.382,1442.719
85,50610,5,10,6,5386.791,1617.674
86,61011,10,6,11,6818.246,2494.286
87,41011,10,4,11,5606.618,2349.395
88,40511,4,11,5,4241.175,1871.46
