BugID,MEAN_10206,MEAN_10209,MEAN_10307,MEAN_10309,MEAN_10311,MEAN_10609,MEAN_10610,MEAN_10611,MEAN_10709,MEAN_10911,MEAN_11011,MEAN_20304,MEAN_20305,MEAN_20309,MEAN_20310,MEAN_20311,MEAN_20405,MEAN_20406,MEAN_20410,MEAN_20507,MEAN_20509,MEAN_20607,MEAN_20610,MEAN_20611,MEAN_20709,MEAN_20711,MEAN_20810,MEAN_20811,MEAN_20911,MEAN_21011,MEAN_30405,MEAN_30408,MEAN_30410,MEAN_30411,MEAN_30508,MEAN_30511,MEAN_30611,MEAN_30708,MEAN_30709,MEAN_30711,MEAN_30811,MEAN_30910,MEAN_31011,MEAN_40506,MEAN_40509,MEAN_40511,MEAN_40609,MEAN_40611,MEAN_40811,MEAN_40910,MEAN_50609,MEAN_50610,MEAN_50709,MEAN_50810,MEAN_50811,MEAN_50911,MEAN_51011,MEAN_60711,MEAN_60911,STDV_10206,STDV_10209,STDV_10307,STDV_10309,STDV_10311,STDV_10609,STDV_10610,STDV_10611,STDV_10709,STDV_10911,STDV_11011,STDV_20304,STDV_20305,STDV_20309,STDV_20310,STDV_20311,STDV_20405,STDV_20406,STDV_20410,STDV_20507,STDV_20509,STDV_20607,STDV_20610,STDV_20611,STDV_20709,STDV_20711,STDV_20810,STDV_20811,STDV_20911,STDV_21011,STDV_30405,STDV_30408,STDV_30410,STDV_30411,STDV_30508,STDV_30511,STDV_30611,STDV_30708,STDV_30709,STDV_30711,STDV_30811,STDV_30910,STDV_31011,STDV_40506,STDV_40509,STDV_40511,STDV_40609,STDV_40611,STDV_40811,STDV_40910,STDV_50609,STDV_50610,STDV_50709,STDV_50810,STDV_50811,STDV_50911,STDV_51011,STDV_60711,STDV_60911
1,11666.29,14500.27,11701.011,11216.879,14803.585,11855.389,13473.369,13656.619,15015.716,13218.45,20475.472,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8245.937,5128.578,4995.759,6737.449,5206.891,2994.253,2791.533,3567.495,8444.957,4679.842,5662.861,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2,11666.29,14500.27,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,14471.522,10886.608,11523.506,17346.971,14061.194,11464.608,11181.544,10257.51,14741.839,11527.879,18015.299,17556.794,12236.713,15306.586,17293.37,12494.9,14613.901,12750.262,13035.481,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8245.937,5128.578,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5691.844,3623.947,4556.787,3926.229,4621.35,3199.075,3410.904,3666.356,3382.228,3455.827,3988.871,3703.007,5298.737,4739.116,4177.614,2622.899,4605.217,5121.021,4693.833,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
3,NaN,NaN,11701.011,11216.879,14803.585,NaN,NaN,NaN,NaN,NaN,NaN,14471.522,10886.608,11523.506,17346.971,14061.194,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8481.825,8389.391,9747.609,13466.692,10341.479,12509.691,7884.756,11613.494,10437.574,10797.544,9404.133,15179.593,13517.137,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4995.759,6737.449,5206.891,NaN,NaN,NaN,NaN,NaN,NaN,5691.844,3623.947,4556.787,3926.229,4621.35,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3628.688,2754.28,3938.503,5499.615,3923.729,2908.367,2793.132,4822.284,3644.083,2662.106,3267.184,8482.607,4636.021,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,14471.522,NaN,NaN,NaN,NaN,11464.608,11181.544,10257.51,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8481.825,8389.391,9747.609,13466.692,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,12403.857,9921.79,9688.148,9383.81,6444.902,8924.24,14091.274,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5691.844,NaN,NaN,NaN,NaN,3199.075,3410.904,3666.356,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3628.688,2754.28,3938.503,5499.615,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4381.299,3638.51,4886.712,2343.156,1162.506,2856.565,8702.885,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,10886.608,NaN,NaN,NaN,11464.608,NaN,NaN,14741.839,11527.879,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8481.825,NaN,NaN,NaN,10341.479,12509.691,NaN,NaN,NaN,NaN,NaN,NaN,NaN,12403.857,9921.79,9688.148,NaN,NaN,NaN,NaN,18087.337,4638.578,13594.76,10449.865,10600.498,11086.02,11290.971,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3623.947,NaN,NaN,NaN,3199.075,NaN,NaN,3382.228,3455.827,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3628.688,NaN,NaN,NaN,3923.729,2908.367,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4381.299,3638.51,4886.712,NaN,NaN,NaN,NaN,8536.453,2027.048,5350.786,3780.674,2592.985,2716.225,4255.246,NaN,NaN
6,11666.29,NaN,NaN,NaN,NaN,11855.389,13473.369,13656.619,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,11181.544,NaN,NaN,NaN,18015.299,17556.794,12236.713,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7884.756,NaN,NaN,NaN,NaN,NaN,NaN,12403.857,NaN,NaN,9383.81,6444.902,NaN,NaN,18087.337,4638.578,NaN,NaN,NaN,NaN,NaN,11471.583,11005.407,8245.937,NaN,NaN,NaN,NaN,2994.253,2791.533,3567.495,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3410.904,NaN,NaN,NaN,3988.871,3703.007,5298.737,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2793.132,NaN,NaN,NaN,NaN,NaN,NaN,4381.299,NaN,NaN,2343.156,1162.506,NaN,NaN,8536.453,2027.048,NaN,NaN,NaN,NaN,NaN,2544.406,4063.364
7,NaN,NaN,11701.011,NaN,NaN,NaN,NaN,NaN,15015.716,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,14741.839,NaN,18015.299,NaN,NaN,15306.586,17293.37,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,11613.494,10437.574,10797.544,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,13594.76,NaN,NaN,NaN,NaN,11471.583,NaN,NaN,NaN,4995.759,NaN,NaN,NaN,NaN,NaN,8444.957,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3382.228,NaN,3988.871,NaN,NaN,4739.116,4177.614,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4822.284,3644.083,2662.106,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5350.786,NaN,NaN,NaN,NaN,2544.406,NaN
8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,12494.9,14613.901,NaN,NaN,NaN,8389.391,NaN,NaN,10341.479,NaN,NaN,11613.494,NaN,NaN,9404.133,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8924.24,NaN,NaN,NaN,NaN,10449.865,10600.498,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2622.899,4605.217,NaN,NaN,NaN,2754.28,NaN,NaN,3923.729,NaN,NaN,4822.284,NaN,NaN,3267.184,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2856.565,NaN,NaN,NaN,NaN,3780.674,2592.985,NaN,NaN,NaN,NaN
9,NaN,14500.27,NaN,11216.879,NaN,11855.389,NaN,NaN,15015.716,13218.45,NaN,NaN,NaN,11523.506,NaN,NaN,NaN,NaN,NaN,NaN,11527.879,NaN,NaN,NaN,15306.586,NaN,NaN,NaN,12750.262,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,10437.574,NaN,NaN,15179.593,NaN,NaN,9921.79,NaN,9383.81,NaN,NaN,14091.274,18087.337,NaN,13594.76,NaN,NaN,11086.02,NaN,NaN,11005.407,NaN,5128.578,NaN,6737.449,NaN,2994.253,NaN,NaN,8444.957,4679.842,NaN,NaN,NaN,4556.787,NaN,NaN,NaN,NaN,NaN,NaN,3455.827,NaN,NaN,NaN,4739.116,NaN,NaN,NaN,5121.021,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3644.083,NaN,NaN,8482.607,NaN,NaN,3638.51,NaN,2343.156,NaN,NaN,8702.885,8536.453,NaN,5350.786,NaN,NaN,2716.225,NaN,NaN,4063.364
10,NaN,NaN,NaN,NaN,NaN,NaN,13473.369,NaN,NaN,NaN,20475.472,NaN,NaN,NaN,17346.971,NaN,NaN,NaN,10257.51,NaN,NaN,NaN,17556.794,NaN,NaN,NaN,12494.9,NaN,NaN,13035.481,NaN,NaN,9747.609,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,15179.593,13517.137,NaN,NaN,NaN,NaN,NaN,NaN,14091.274,NaN,4638.578,NaN,10449.865,NaN,NaN,11290.971,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2791.533,NaN,NaN,NaN,5662.861,NaN,NaN,NaN,3926.229,NaN,NaN,NaN,3666.356,NaN,NaN,NaN,3703.007,NaN,NaN,NaN,2622.899,NaN,NaN,4693.833,NaN,NaN,3938.503,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8482.607,4636.021,NaN,NaN,NaN,NaN,NaN,NaN,8702.885,NaN,2027.048,NaN,3780.674,NaN,NaN,4255.246,NaN,NaN
11,NaN,NaN,NaN,NaN,14803.585,NaN,NaN,13656.619,NaN,13218.45,20475.472,NaN,NaN,NaN,NaN,14061.194,NaN,NaN,NaN,NaN,NaN,NaN,NaN,12236.713,NaN,17293.37,NaN,14613.901,12750.262,13035.481,NaN,NaN,NaN,13466.692,NaN,12509.691,7884.756,NaN,NaN,10797.544,9404.133,NaN,13517.137,NaN,NaN,9688.148,NaN,6444.902,8924.24,NaN,NaN,NaN,NaN,NaN,10600.498,11086.02,11290.971,11471.583,11005.407,NaN,NaN,NaN,NaN,5206.891,NaN,NaN,3567.495,NaN,4679.842,5662.861,NaN,NaN,NaN,NaN,4621.35,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5298.737,NaN,4177.614,NaN,4605.217,5121.021,4693.833,NaN,NaN,NaN,5499.615,NaN,2908.367,2793.132,NaN,NaN,2662.106,3267.184,NaN,4636.021,NaN,NaN,4886.712,NaN,1162.506,2856.565,NaN,NaN,NaN,NaN,NaN,2592.985,2716.225,4255.246,2544.406,4063.364
