Location ID	Mean	StdDev	Min	Max	IntDen	RawIntDen
1	8446.409	3174.207	1534	26541	82868518996	7845540260
2	6604.409	2391.627	1409	17710	65126651401	6165836819
3	6684.427	2595.413	1445	38262	65581542638	6208903445
4	5672.689	2335.911	1422	32292	55938875838	5295988245
5	7163.721	2311.186	1399	31769	70283946481	6654101442
6	4377.581	1685.897	1405	11243	43167702511	4086883078
7	6299.173	3339.4	1334	29941	61801781609	5851056247
8	6194.808	3457.751	1447	28565	61087541704	5783435901
9	6102.019	2502.976	1442	27715	59867486574	5667927723
10	5611.548	2944.329	1428	24584	55335960395	5238907493
11	4027.435	2283.007	1196	24597	39513547553	3740927579
12	6134.914	3913.424	1336	29922	60496913639	5727518451
13	5612.513	2398.251	1387	16227	55064896922	5213244679
14	5743.768	3498.546	1354	35511	56639798057	5362347745
15	6075.278	2410.594	1496	25830	59605126084	5643088860
16	5774.452	2087.062	1292	26143	56942372805	5390993875
17	6291.9	2205.383	1300	28161	61730422204	5844300327
18	5736.829	1833.939	1312	22410	56571370474	5355869394
19	6845.994	2628.332	1465	43137	67166694499	6358976994
20	6801.676	2230.019	1277	21028	67071920165	6350004276
21	7945.763	2958.587	1546	29011	77956628499	7380509207
22	8348.425	2941.771	1266	22631	82324546338	7794039890
23	8520.969	2994.808	1641	24118	84026013263	7955125516
24	7767.729	3305.512	1494	34342	76209926369	7215140958
25	7740.197	2541.968	1766	30544	76326752288	7226201400
26	8476.568	2545.739	1643	36709	83164410629	7873553669
27	7388.026	3415.879	1685	47107	72853968467	6897417133
28	8641.836	3467.54	1741	19139	84785864651	8027064109
29	6378.868	3013.199	1672	35716	62902573566	5955273237
30	12807.933	4056.646	1978	24646	1.2566E+11	11896789631
31	8196.448	1919.002	1490	15725	80825880723	7652154388
32	7105.995	3341.885	1655	39762	69717592033	6600482086
33	7166.569	2897.085	1547	14720	70670159118	6690665952
34	8213.377	3137.698	1521	16874	80582216217	7629085559
35	6733.948	3267.701	1582	28330	66404047185	6286773698
36	6525.015	3337.771	1172	29894	64017536891	6060831895
37	5848.081	4170.794	1588	37823	57668431112	5459733123
38	6482.814	2832.57	1384	44002	63603496904	6021632843
39	6856.216	2436.524	1646	32459	67609735900	6400921742
40	4852.489	1923.308	1381	30212	47608230292	4507288075
41	5885.994	2318.015	1307	25547	58042295848	5495128601
42	3595.85	1452.326	1397	21292	35279225260	3340044995
43	6734.367	2023.562	1609	23105	66408178475	6287164826
44	8446.79	3149.555	1259	37692	82872256600	7845894116
45	5165.127	1631.914	1381	24291	50675551890	4797685386
46	5621.753	1904.69	1398	21849	55436597117	5248435230
47	6276.629	2524.135	1453	33446	61580595201	5830115522
48	5441.562	1504.916	1530	18969	53659710425	5080209271
49	6886.541	1744.924	1554	24708	67564501867	6396639230
50	7863.777	3845.667	1747	44763	77545382293	7341574655
51	6890.125	2333.468	1582	20599	67599666964	6399968470
52	9744.841	4413.01	1994	37648	96094725911	9097725530
53	8295.026	2686.559	1662	15600	81383284340	7704926328
54	9377.214	2330.662	1884	17458	92469518994	8754510674
55	9978.993	4999.986	1281	30720	97904838541	9269097140
56	8244.066	1798.664	1550	11936	81295453297	7696610963
57	6476.247	3105.112	1543	30396	63539068136	6015533078
58	5538.485	3249.961	1501	40108	54615478507	5170696190
59	7113.494	3373.237	1642	39093	69791165159	6607447589
60	6809.788	2654.595	1475	36697	67151905753	6357576876
61	7277.82	2654.648	1609	27238	71403383310	6760083627
62	5150.717	1711.119	1334	22404	50791669561	4808678775
63	5926.254	3450.421	1426	33236	58143040593	5504666565
64	5174.21	2264.364	1452	24582	51023329311	4830611059
65	6771.944	3061.129	1411	32871	66440176502	6290194225
66	6233.061	2350.056	1073	20753	61464751542	5819148075
67	4431.701	2287.403	1353	27507	43701383555	4137409094
68	6294.678	3016.387	1272	28858	61757679358	5846880886
69	4609.844	1178.557	1258	22486	45458067459	4303722363
70	2791.371	1169.527	1151	17061	27386405891	2592795824
71	4797.224	1817.483	1144	16406	47305841191	4478659521
72	4119.825	1662.372	1409	15660	40419989014	3826744522
73	6098.591	2170.382	1409	17434	60138731374	5693607704
74	7812.517	4450.696	1703	39076	76649341199	7256742362
75	9511.251	2212.783	1633	14715	93791272885	8879647137
76	7698.168	3650.31	1595	26608	75527454239	7150528212
77	7672.386	1612.588	1613	11027	75658063629	7162893598
78	8747.926	5299.331	1726	50126	85826729631	8125607539
79	6444.198	2793.162	1689	19524	63546798851	6016264980
80	6728.153	4081.78	1359	33995	66010547712	6249519310
81	6653.037	1867.311	1602	19158	65606178349	6211235820
82	7260.262	3827.334	1397	35370	71231113709	6743774079
83	5599.676	1291.618	1338	21308	55218894095	5227824293
84	4265.382	1442.719	1159	21692	41848063170	3961946809
85	5386.791	1617.674	1465	30755	53119616084	5029076079
86	6818.246	2494.286	1482	23414	66894454195	6333202764
87	5606.618	2349.395	1295	28370	55287340933	5234304467
88	4241.175	1871.46	1058	33115	41610569509	3939462202
