LocationID,Mean,StdDev,Min,Max,IntDen,RawIntDen
1,15676.711,6154.399,1987,36577,1.53806E+11,14561485735
2,12463.532,3660.569,1818,25288,1.22904E+11,11635879083
3,15712.929,4717.05,2726,35399,1.54161E+11,14595126724
4,17546.389,5807.994,2326,30558,1.73026E+11,16381203670
5,19709.182,5326.533,3150,28775,1.93369E+11,18307090730
6,21926.578,6548.777,2562,32762,2.1622E+11,20470521221
7,23751.984,7134.965,2961,33729,2.33033E+11,22062291732
8,19535.408,7246.903,2458,37028,1.9264E+11,18238139966
9,14333.246,7231.286,2152,30466,1.40625E+11,13313592914
10,14829.737,6785.112,2510,30316,1.46237E+11,13844953706
11,24177.899,7312.186,3602,58732,2.37212E+11,22457907365
12,22747.172,8100.687,3296,62729,2.24312E+11,21236623520
13,21339.438,5969.682,3570,39269,2.09363E+11,19821371896
14,15295.548,4288.033,2602,26557,1.50831E+11,14279831854
15,20255.022,10480.898,3508,65535,1.98724E+11,18814099969
16,18857.144,4963.014,3129,37092,1.85952E+11,17604916321
17,23688.192,4924.479,3833,32443,2.32407E+11,22003037248
18,19315.819,3541.325,3104,30263,1.90475E+11,18033132912
19,21121.22,3445.871,2996,34577,2.07222E+11,19618677952
20,15086.457,3754.525,2605,34849,1.48769E+11,14084625363
21,16807.345,4003.51,2973,44804,1.64898E+11,15611687712
22,17067.735,6473.681,1526,25904,1.68306E+11,15934334922
23,17711.915,4595.53,3609,26532,1.74659E+11,16535737869
24,16457.477,4085.59,3517,24042,1.61466E+11,15286708526
25,16511.703,5694.688,3344,29231,1.62823E+11,15415226422
26,17545.641,5047.097,3242,29579,1.72142E+11,16297461737
27,20090.305,4758.37,3882,29854,1.98112E+11,18756188312
28,22861.466,5870.33,3545,34396,2.24296E+11,21235124376
29,21763.987,4805.062,3380,31184,2.14617E+11,20318727844
30,17744.183,3588.984,3303,26091,1.7409E+11,16481879312
31,18821.389,5734.684,4675,32112,1.85599E+11,17571535908
32,21217.395,5423.321,4892,37187,2.08166E+11,19708010508
33,19943.045,4643.855,5049,30400,1.9666E+11,18618707547
34,22417.453,4135.458,5188,31864,2.1994E+11,20822697842
35,20380.03,4348.878,5166,30343,2.00969E+11,19026673591
36,23007.647,4930.839,5395,34553,2.2573E+11,21370906056
37,21205.504,6351.294,5056,37553,2.09109E+11,19797331260
38,20433.696,3051.062,5195,27887,2.00477E+11,18980063187
39,21897.397,4693.488,4873,31428,2.15932E+11,20443278106
40,21153.321,3168.525,5272,27815,2.07537E+11,19648494796
41,21577.6,4154.516,4134,29928,2.12779E+11,20144718238
42,17467.05,5169.837,4187,46944,1.71371E+11,16224461483
43,19277.918,4644.592,3110,35175,1.90101E+11,17997748602
44,12128.539,3306.471,1847,41895,1.18994E+11,11265726787
45,20714.967,6202.655,2697,45602,2.03236E+11,19241325314
46,19562.225,5537.212,4479,30277,1.92905E+11,18263175581
47,19657.011,4527.54,4119,27076,1.92857E+11,18258631228
48,19051.807,4350.726,4468,27922,1.87872E+11,17786653025
49,23507.499,6258.849,4451,37989,2.30634E+11,21835199135
50,21834.461,5890.434,3664,33373,2.15312E+11,20384522088
51,19731.502,6373.669,2954,36812,1.93588E+11,18327822877
52,16156.435,4761.519,4421,26447,1.5932E+11,15083550702
53,16926.827,5310.831,4415,34044,1.66071E+11,15722669400
