LocationID,Mean,StdDev,Min,Max,IntDen,RawIntDen
1,2955.606,587.838,1169,5921,28997732166,2745347424
2,3502.675,603.347,1312,7036,34540185947,3270076776
3,4799.741,1438.434,1731,8842,47090709651,4458292038
4,3493.566,601.598,1196,5003,34450357894,3261572345
5,5692.526,2032.059,1779,11001,55849909495,5287565396
6,4489.37,989.359,1283,7216,44270066918,4191248939
7,4820.692,1575.381,1533,10407,47296261183,4477752538
8,3619.442,641.258,1388,5366,35691627552,3379088999
9,4309.869,1236.226,1513,9178,42284529298,4003269046
10,4144.947,691.077,1620,6607,40873682537,3869697755
11,4423.785,1025.179,1721,7765,43402167228,4109080921
12,4585.87,1185.514,1306,8754,45221660626,4281340651
13,4420.619,1579.897,1261,10203,43371108429,4106140443
14,4495.585,1021.825,1344,8796,44331354916,4197051353
15,5315.904,1674.566,1734,10598,52154836775,4937736026
16,4751.094,1029.904,1374,8207,46850953101,4435593193
17,4727.17,1222.535,1881,9649,46378706979,4390883501
18,3990.473,630.162,1177,6582,39350398650,3725481529
19,4758.005,1063.826,1477,9562,46681236087,4419525310
20,3774.446,545.806,1220,6745,37220137257,3523799977
21,4271.304,808.178,1175,7020,41906170313,3967448077
22,2769.324,675.503,932,8147,27308540820,2585423983
23,3504.858,624.799,1554,5723,34561711994,3272114745
24,5128.546,1628.926,1529,13097,50316651100,4763706613
25,4221.352,854.333,2041,8040,41627116637,3941028794
26,4686.565,1660.734,1763,10494,45980329849,4353167323
27,4971.02,1333.679,2305,9601,49019654093,4640913997
28,5070.216,1884.994,2043,11372,49744371428,4709526289
29,5032.47,1618.159,1700,10111,49625619775,4698283529
30,5027.588,2101.437,1331,13128,49326141741,4669930579
31,4805.765,1651.433,1431,10387,47390066365,4486633502
32,5425.688,2160.787,1595,12609,53231936812,5039709994
33,5271.436,1758.226,1855,11613,51982082883,4921380628
34,5698.744,2486.501,1850,14546,55910915179,5293341082
35,4623.679,1484.849,1908,10502,45594496596,4316638731
36,5409.889,2092.92,2095,12517,53076933571,5025035131
37,5268.17,1966.647,1695,11950,51949885637,4918332368
38,4983.085,1278.54,1827,10405,48889520249,4628593633
39,4634.474,1095.129,1752,8864,45700951471,4326717299
40,5263.056,1575.532,1491,10834,51636334825,4888647084
41,4787.783,817.678,1400,7595,47212739439,4469845154
42,3705.965,679.735,1267,7116,36359571248,3442326272
43,3786.234,685.79,992,6692,37336379228,3534805134
44,3244.355,802.317,1244,8412,31830670209,3013554576
45,3254.009,661.776,910,5930,31925392586,3022522375
46,3686.655,567.276,1573,5684,36354424269,3441838984
