 ,Mean,StdDev,Min,Max,IntDen,RawIntDen
1,11358.883,3122.981,2582,24769,1.11443E+11,10550823033
2,13431.013,2830.086,2841,21019,1.32444E+11,12539113607
3,20921.826,5815.116,4407,31429,2.05266E+11,19433468453
4,12304.869,3707.422,2750,21686,1.21339E+11,11487752010
5,18224.061,4803.174,4037,31817,1.78798E+11,16927619620
6,12481.064,3914.365,2202,24965,1.23077E+11,11652246643
7,16057.54,5757.102,2851,33778,1.57542E+11,14915223017
8,12216.945,3344.087,2398,18560,1.20472E+11,11405666166
9,16615.512,5873.892,3403,28216,1.63016E+11,15433500766
10,15983.784,4195.063,3159,23082,1.57617E+11,14922364453
11,20655.319,6697.981,4573,32587,2.02651E+11,19185919999
12,18453.877,5730.785,2311,29819,1.81975E+11,17228429097
13,22350.761,9958.369,3147,46037,2.19285E+11,20760750552
14,16782.458,5109.157,2394,30046,1.65493E+11,15668002275
15,19287.976,8549.723,4373,42716,1.89236E+11,17915848635
16,10452.229,5963.991,2174,47384,1.0307E+11,9758138333
17,11847.488,5021.614,3442,27082,1.16237E+11,11004669958
18,10481.3,5707.686,2150,41410,1.03357E+11,9785278694
19,11419.514,3890.852,2426,26278,1.12038E+11,10607141056
20,9793.44,2501.216,1847,22457,96573963214,9143097109
21,12144.689,3168.08,1981,22642,1.19153E+11,11280728054
22,8782.83,2810.254,1565,28193,86608245351,8199597193
23,14122.901,2453.298,4286,22124,1.39267E+11,13185055963
24,23743.061,5534.047,6670,64440,2.32945E+11,22054003286
25,19483.361,4647.642,5226,30669,1.92127E+11,18189548546
26,21488.733,7045.87,4418,38433,2.10828E+11,19960045806
27,22230.66,5321.441,6332,42916,2.19218E+11,20754410659
28,18424.238,5580.251,5298,39508,1.80762E+11,17113555745
29,17086.406,8465.721,3034,49259,1.68491E+11,15951765939
30,21605.788,9167.765,3239,44191,2.11976E+11,20068773784
31,21788.52,9686.49,3570,44309,2.14858E+11,20341631220
32,28845.561,13319.369,4665,57691,2.83007E+11,26793516676
33,26479.314,9196.034,6615,47539,2.61115E+11,24720928808
34,29579.905,13942.982,5546,60184,2.90211E+11,27475620397
35,23133.314,7723.568,5429,39214,2.2812E+11,21597123493
36,19013.771,5219.094,6347,29956,1.86546E+11,17661149961
37,26630.639,9339.732,5437,59549,2.62607E+11,24862205020
38,17216.882,4586.138,3870,40102,1.68916E+11,15992089918
39,16546.698,4354.798,4442,26753,1.63168E+11,15447897542
40,18745.119,5903.889,3770,35218,1.8391E+11,17411609869
41,17356.102,4279.767,2958,29136,1.7115E+11,16203552978
42,10000.166,1910.006,2253,17222,98112567046,9288763744
43,10635.514,1848.792,1914,15189,1.04878E+11,9929252346
44,12627.527,3578.001,1795,27168,1.2389E+11,11729217042
45,13701.731,2220.865,2600,24064,1.34429E+11,12727003535
46,14855.506,2224.485,5507,19966,1.46491E+11,13869010905
47,22046.281,4515.598,4176,37533,2.16298E+11,20477930392
48,17529.298,5410.778,4153,47098,1.72858E+11,16365247636
49,17913.286,6604.217,4206,43401,1.75749E+11,16638952968
50,16728.479,5452.984,4322,33544,1.64961E+11,15617607646
51,13936.819,6218.839,2409,33652,1.36735E+11,12945367264
52,16043.074,4761.004,4043,42533,1.58202E+11,14977717670
53,16846.11,4202.506,4201,25065,1.65279E+11,15647694553
54,24628.299,7753.495,6000,39438,2.42862E+11,22992832121
55,23018.972,6566.476,5522,34250,2.25841E+11,21381425646
56,25420.713,7356.398,6112,38074,2.50676E+11,23732624720
57,20495.661,7244.482,4022,38322,2.01085E+11,19037620286
58,17143.406,3795.902,2669,28215,1.69053E+11,16004981256
59,14375.03,7891.303,2983,49789,1.41035E+11,13352405129
60,13198.099,4524.136,2507,45727,1.30148E+11,12321665654
61,15415.958,7132.078,2832,49744,1.51247E+11,14319281751
62,15003.371,4312.986,3230,27489,1.4795E+11,14007057223
63,19470.067,5073.315,2703,31421,1.91023E+11,18084985973
64,5827.969,917.894,1798,9924,57470106179,5440956798
65,6674.848,1397.688,1918,13455,65487560766,6200005753
66,15364.673,4882.214,1619,26941,1.51512E+11,14344366431
67,11774.089,2333.944,2592,21341,1.16105E+11,10992218727
68,10728.637,2901.989,3497,29105,1.0526E+11,9965412689
69,16566.142,3218.175,3355,22547,1.6336E+11,15466050684
70,19265.813,4132.662,3468,28669,1.89019E+11,17895262580
71,19628.425,5706.124,2969,29790,1.93558E+11,18324980037
72,16380.854,4749.501,4082,40005,1.60714E+11,15215536032
73,11659.225,8881.983,2797,62312,1.14973E+11,10884982644
74,17555.173,6238.068,5991,37556,1.72235E+11,16306315306
75,15095.308,2528.266,3270,21835,1.48856E+11,14092889228
76,16008.308,6401.684,3197,36393,1.57059E+11,14869492536
77,11616.422,3830.972,3367,22749,1.14551E+11,10845021996
78,13297.372,6060.343,2824,33276,1.30462E+11,12351409924
79,13916.175,4475.093,2762,24578,1.37229E+11,12992057521
80,15693.7,5917.047,2873,34512,1.53972E+11,14577265710
81,14757.061,11886.985,3067,65535,1.45521E+11,13777103230
82,23413.127,3991.616,2827,32995,2.29708E+11,21747540720
83,24493.142,4382.539,3559,40482,2.41529E+11,22866650829
84,21888.012,4589.003,2451,34903,2.14745E+11,20330920457
85,19329.411,4346.393,2762,28445,1.90609E+11,18045822040
86,14314.064,2478.532,2482,25355,1.40437E+11,13295775366
87,10682.623,2551.218,1905,22673,1.05342E+11,9973232460
88,9255.953,3225.636,1355,27294,90811026171,8597493602
89,7654.999,689.136,6137,9206,4596902213,435209677
90,11618.615,1737.748,8667,15204,6977092298,660553117
91,12971.72,2491.252,8230,24769,7789645006,737481184
92,11817.484,602.42,10129,13054,7096515113,671859419
93,13232.242,1047.406,9659,14612,7946091073,752292646
94,18495.105,1771.065,12097,21019,11106491903,1051502192
95,15965.5,1592.798,9564,17851,9587439533,907686583
96,23272.483,1667.698,17895,26556,13975354603,1323110495
97,19170.098,2968.839,11491,23597,11511831664,1089877554
98,17591.632,1962.866,10360,20334,10563947591,1000137050
99,8703.667,1239.637,5975,10732,5226637175,494829555
100,18470.009,2018.652,12443,21686,11091421782,1050075435
101,14792.971,959.324,11177,16376,8883324186,841024775
102,25404.061,2776.3,17887,29218,15255388077,1444297096
