 ,Mean,StdDev,Min,Max
1,571.448,68.121,349,855
2,529.928,83.812,274,887
3,538.740,55.394,317,806
4,506.687,82.775,274,922
5,557.191,59.332,335,816
6,495.195,83.904,293,871
7,536.036,57.450,325,834
8,497.068,70.479,278,807
9,554.605,89.924,307,1002
10,526.599,95.449,276,992
11,532.510,99.612,299,1154
12,536.752,80.143,274,870
13,563.363,72.600,292,880
14,561.999,77.267,282,901
15,545.978,65.861,310,845
16,516.199,75.586,274,827
17,548.805,60.908,299,795
18,501.290,83.846,275,886
19,586.916,70.901,317,906
20,526.593,84.747,291,919
21,604.187,94.418,331,1017
22,577.645,79.106,288,932
23,536.385,81.231,283,834
24,531.262,72.430,317,801
25,531.143,69.878,284,814
26,516.086,71.960,318,807
27,516.398,64.802,290,772
28,541.284,79.687,333,1527
29,518.725,79.164,273,905
30,551.147,64.077,330,859
31,566.104,84.088,280,893
32,560.466,57.747,348,803
33,529.124,83.038,309,894
34,535.140,54.120,332,794
35,492.713,72.064,289,797
36,553.542,79.038,308,1053
37,546.560,86.308,288,972
38,553.781,99.821,316,966
39,517.988,68.807,252,1058
40,525.371,86.004,296,920
41,569.915,90.434,286,924
42,556.748,98.393,302,968
43,580.154,89.170,287,921
44,523.310,85.706,262,907
45,593.374,95.961,356,1033
46,547.746,88.210,327,2140
47,607.952,93.770,340,1003
48,514.299,77.377,274,850
49,577.057,91.676,331,948
50,540.871,97.800,320,917
51,568.701,96.430,331,975
52,540.629,71.604,322,1205
53,539.922,68.903,327,821
54,540.885,64.120,323,919
55,541.254,94.590,322,982
56,560.498,81.365,318,977
57,561.904,103.793,343,994
58,571.191,81.965,315,1205
59,564.181,78.367,330,1152
60,548.517,85.258,300,925
61,523.693,56.943,317,810
62,521.716,77.927,251,969
63,564.917,74.163,348,885
64,545.999,88.143,280,891
65,555.088,78.729,344,916
66,501.988,76.601,280,813
67,585.583,104.378,292,989
68,583.586,102.930,320,1007
69,614.616,105.823,306,976
70,547.626,96.905,313,973
71,586.263,94.958,272,933
72,565.528,74.778,330,863
73,560.007,90.441,300,933
74,526.665,56.756,336,804
75,522.231,70.233,308,814
76,538.802,55.889,341,807
77,530.076,91.970,321,955
78,560.096,74.058,318,964
79,549.555,102.955,302,956
80,539.968,78.947,289,887
81,551.020,78.915,292,838
82,515.225,76.521,306,828
83,526.408,65.529,288,805
84,500.144,72.409,292,801
85,538.255,72.361,289,862
86,515.150,85.423,313,854
87,545.522,78.400,286,884
88,537.441,77.041,321,868
89,624.034,49.274,428,804
90,664.666,33.062,515,817
91,676.657,40.957,505,855
92,686.358,60.381,452,835
93,635.030,35.233,451,776
94,608.372,41.256,448,814
95,573.526,36.203,438,732
96,605.537,38.012,365,774
97,633.920,39.284,463,795
98,617.915,38.561,424,762
99,671.602,51.773,447,866
100,581.175,41.730,409,769
101,631.843,65.748,418,816
102,637.698,43.552,401,798
103,607.194,40.326,445,760
104,669.244,51.278,474,867
105,565.803,36.284,416,703
106,601.780,40.950,418,762
107,546.580,38.345,387,678
108,633.484,36.925,436,779
109,538.983,86.088,362,834
110,539.525,25.989,410,639
111,593.990,35.333,420,743
112,636.816,41.180,470,807
113,554.327,46.359,384,715
114,664.594,44.518,437,844
115,764.778,57.079,525,988
116,596.009,31.508,439,783
